Category,Coding,Medication_ATC_code,Drug_name
aranesp 10micrograms/0.4ml prefilled syringe,1141178816,B03XA02,Darbepoetin Alfa
methadone,1140884482,N07BC02,Methadone
betamethasone+calcipotriol,1141179982,D05AX52,Betamethasone |Calcipotriol
piroxicam 0.5% gel,1140875546,M02AA07,Piroxicam
provera 2.5mg tablet,1140864232,G03DA02,Medroxyprogesterone Acetate
medroxyprogesterone,1140869270,G03AC06 |G03DA02 |L02AB02,Medroxyprogesterone Acetate
olsalazine,1140879502,A07EC03,Olsalazine
naftidrofuryl,1140888676,C04AX21,Naftidrofuryl Oxalate
regurin 20mg tablet,1141171502,G04BD09,Trospium
reboxetine,1141151978,N06AX18,Reboxetine
minoxidil,1140860532,C02DC01 |D11AX01,Minoxidil
zispin 30mg tablet,1141152736,N06AX11,Mirtazapine
betacap scalp application,1140921024,D07AC01,Betamethasone
bedranol 10mg tablet,1140851556,C07AA05,Propranolol
oxazepam,1140863442,N05BA04,Oxazepam
depixol 3mg tablet,1140867152,N05AF01,Flupentixol
dermol 200 shower emollient,1141168374,D02A,Chlorhexidine |Mineral Oil |Benzalkonium |Isopropyl Myristate
ventide inhaler,1140862560,R03AK13,Beclomethasone Dipropionate |Salbutamol
bendrofluazide+potassium 2.5mg/7.7mmol m/r tablet,1140866450,C03AB01,Bendroflumethiazide |Potassium
daktarin 2% cream,1140882464,D01AC02,Miconazole
co-beneldopa,1140882110,N04BA02,Levodopa |Benserazide
beta-carotene product,1140911728,A11CA02 |D02BB01,Beta Carotene
theophylline product,1140862412,R03DA04,Theophylline
bzt - bendrofluazide,1140910442,C03AA01,Bendroflumethiazide
entacapone,1141169700,N04BX02,Entacapone
valium 2mg tablet,1140863244,N05BA01,Diazepam
frovatriptan,1141192666,N02CC07,Frovatriptan
nizoral 20mg/ml shampoo,1140916950,D01AC08,Ketoconazole
abacavir,1141165852,J05AF06,Abacavir
dyazide tablet,1140866402,C03EA01,Triamterene |Hydrochlorothiazide
asmabec 50micrograms spacehaler,1141153270,R03BA01,Beclomethasone Dipropionate
nicardipine,1140879810,C08CA04,Nicardipine
hyoscine,1140882104,A04AD01 |N05CM05 |S01FA02,Scopolamine
flupentixol,1140909800,N05AF01,Flupentixol
monomax sr 40 m/r capsule,1140923788,C01DA14,Isosorbide Mononitrate
levobunolol,1140879826,S01ED03,Levobunolol
aceclofenac,1140925806,M01AB16 |M02AA25,Aceclofenac
mebeverine hcl+ispaghula 135mg/3.5g/sachet granules,1140865408,A06AC01 |A03AA04,Plantago Seed |Mebeverine Hydrochloride
neotigason 10mg capsule,1140880092,D05BB02,Acitretin
alprostadil,1140869100,C01EA01 |G04BE01,Alprostadil
proscar 5mg tablet,1140868608,G04CB01,Finasteride
fersamal tablet,1141177686,B03AA02,Iron
imedeen tablet,1140917128,V06D,Vitamin C |Zinc
betoptic 0.5% eye drops,1140881890,S01ED02,Betaxolol
xyloproct ointment,1140881454,C05AA01,Lidocaine |Hydrocortisone
acitretin,1140880090,D05BB02,Acitretin
loperamide hydrochloride+simethicone,1141167096,A07DA53,Loperamide |Simethicone
ondansetron,1140868134,A04AA01,Ondansetron
rozex 0.75% cream,1141167038,D06BX01,Metronidazole
felotens xl 5mg m/r tablet,1141188152,C08CA02,Felodipine
ibugel gel,1140875616,M02AA13,Ibuprofen
glycerol suppository,1140910750,A06AX01,Glycerin
cocois ointment,1140876424,D05AA,Salicylic Acid |Sulfur |Coal Tar
micardisplus 40mg/12.5mg tablet,1141187790,C09DA07,Telmisartan |Hydrochlorothiazide
neofel xl 5mg m/r tablet,1141200782,C08CA02,Felodipine
sudafed 0.05% nasal spray,1140876088,R01AA07,Xylometazoline
mizollen 10mg m/r tablet,1141157060,R06AX25,Mizolastine
calcitriol,1141174388,A11CC04 |D05AX03,Calcitriol
paracodol capsule,1140925778,N02AJ06,Acetaminophen |Codeine
benadryl one a day 10mg tablet,1141181562,R06AE07,Cetirizine
co-phenotrope,1140881334,A07DA01,Atropine |Diphenoxylate
disulfiram,1140872480,N07BB01 |P03AA04,Disulfiram
predfoam 20mg enema,1140865840,A07EA,Prednisolone
predsol 0.5% eye/ear drops,1140883028,S01BA04,Prednisolone
ketoprofen 2.5% gel,1140875642,M02AA10,Ketoprofen
itraconazole,1140874302,J02AC02,Itraconazole
cortisone product,1140884704,H02AB10 |S01BA03,Cortisone Acetate
oilatum bath formula liquid bath additive,1141200878,D02A,Light Mineral Oil
adalimumab,1141188588,L04AB04,Adalimumab
valproic acid,1140872214,N03AG01,Valproic Acid
zocor 10mg tablet,1140881748,C10AA01,Simvastatin
minims prednisolone 0.5% single-use eye drops,1140875684,S01BA04,Prednisolone
care ibuprofen 10% gel,1141200748,M02AA13,Ibuprofen
amoxycillin,1140872646,J01CA04,Amoxicillin
casodex 50mg tablet,1140917310,L02BB03,Bicalutamide
hydralazine,1140888686,C02DB02,Hydralazine
propranolol hydrochloride+bendrofluazide 80mg/2.5mg capsule,1140860418,C07BA05,Bendroflumethiazide |Propranolol
epinephrine,1140888770,A01AD01 |B02BC09 |C01CA24 |R01AA14 |R03AA01 |S01EA01,Epinephrine
anusol hc ointment,1140881442,C05AA01,Benzyl Benzoate |Zinc Oxide |Bismuth Subsalicylate |Balsam Of Peru
efcortelan 0.5% cream,1140882742,D07AA02,Hydrocortisone
one-alpha 250nanograms capsule,1140870958,A11CC03,Alfacalcidol
propiverine hydrochloride,1141168714,G04BD06,Propiverine
loceryl nail lacquer,1140878676,D01AE16,Amorolfine Hydrochloride
diethylamine salicylate 10% cream bp,1140921938,M02AC,Diethylamine Salicylate
loprazolam,1140863120,N05CD11,Loprazolam Mesilate
genotropin 12iu multidose injection,1140857748,H01AC01,Somatropin Recombinant
pulvinal beclomethasone diprop 100mcg breath-act dry pdr inh,1141179072,R03BA01,Beclomethasone Dipropionate
chlordiazepoxide,1140863328,N05BA02,Chlordiazepoxide
cyclophosphamide,1140869604,L01AA01,Cyclophosphamide
hydrochlorothiazide,1140866162,C03AA03,Hydrochlorothiazide
mercaptopurine,1140869842,L01BB02,Mercaptopurine
sibutramine,1141174500,A08AA10,Sibutramine
copaxone 20mg injection (pdr for recon),1141172620,L03AX13,Glatiramer Acetate
vitamin d2,1140909878,A11CC01,Ergocalciferol
remedeine tablet,1140871684,N02AJ01,Acetaminophen |Dihydrocodeine
becodisks 100micrograms disks+diskhaler,1140881922,R03BA01,Beclomethasone Dipropionate
mst continus 30mg m/r tablet,1140871780,N02AA01,Morphine
glivec 100mg tablet,1141200440,L01XE01,Imatinib
gtn 300micrograms sublingual tablet,1140860838,C01DA02,Nitroglycerin
corsodyl original mouthwash,1140878734,A01AB03,Chlorhexidine
tolbutamide,1140874674,A10BB03 |V04CA01,Tolbutamide
benzydamine,1140884396,A01AD02 |G02CC03 |M01AX07 |M02AA05 |R02AX03,Benzydamine
goserelin,1140870194,L02AE03,Goserelin
flunisolide,1140876154,R01AD04 |R03BA03,Flunisolide
acarbose,1140868902,A10BF01,Acarbose
betnesol 500mcg soluble tablet,1140874794,H02AB01,Betamethasone
niacin,1140910670,C04AC01 |C10AD02,Niacin
adrenaline product,1140862290,A01AD01 |B02BC09 |C01CA24 |R01AA14 |R03AA01 |S01EA01,Epinephrine
cuprofen 200mg tablet,1140871388,M01AE01,Ibuprofen
folicin tablet,1140870486,B03AD,Folic Acid |Cupric Sulfate |Manganese
tritace 1.25mg tablet,1141188408,C09AA05,Ramipril
amaryl 1mg tablet,1141156984,A10BB12,Glimepiride
moduretic tablet,1140866420,C03EA01,Amiloride |Hydrochlorothiazide
hydrocortisone+miconazole,1140882908,D01A,Hydrocortisone |Miconazole
ortho-dienoestrol 0.01% cream,1140883014,G03CB01,Dienestrol
telmisartan+hydrochlorothiazide 40mg/12.5mg tablet,1141187788,C09DA07,Telmisartan |Hydrochlorothiazide
ibuleve gel,1140875540,M02AA13,Ibuprofen
malarone tablet,1141153410,P01BB51,Atovaquone |Proguanil
bezalip 200mg tablet,1140861926,C10AB02,Bezafibrate
magnesium hydroxide,1140881330,A02AA04 |G04BX01,Magnesium Hydroxide
lormetazepam,1140863176,N05CD06,Lormetazepam
harmogen 1.5mg tablet,1140868422,G03C,Estrone Sulfate
meptazinol,1140881026,N02AX05,Meptazinol Hydrochloride
balneum bath oil,1140878244,D02A,Soya Oil
halibut-liver oil capsule,1140877600,A11CB,Vitamin A |Vitamin D
paracetamol+tramadol,1141190956,N02AX52,Tramadol |Acetaminophen
solpadeine soluble effervescent tablet,1140856442,N02AJ09,Caffeine |Acetaminophen |Codeine
cymbalta 30mg gastro-resistant capsule,1141201834,N06AX21,Duloxetine
alphosyl cream,1140878346,D07XA01,Hydrocortisone |Coal Tar |Allantoin
liquid paraffin product,1141170844,A06AA01,Mineral Oil
unguentum m cream,1141164652,D02AX,No Active Ingredients
tetralysal 204mg capsule,1140857044,J01AA04,Lymecycline
desogestrel,1140857912,G03AC09,Desogestrel
femodette tablet,1141166368,G03AA10,Ethinyl Estradiol |Gestodene
atazanavir,1141190554,J05AE08,Atazanavir
propafenone,1140888482,C01BC03,Propafenone
half-sinemet cr m/r tablet,1140872434,N04BA02,Levodopa |Carbidopa
anafranil 10mg capsule,1140867690,N06AA04,Clomipramine
oxygen gas,1140855694,V03AN01,Oxygen
ergocalciferol product,1140876588,A11CC01,Ergocalciferol
trinovum tablet,1140869266,G03AA05,Norethisterone |Ethinyl Estradiol
sodium clodronate,1140868794,M05BA02,Clodronic Acid
caverject 5micrograms injection (pdr for recon)+diluent,1141152912,G04BE01,Alprostadil
neurontin 100mg capsule,1140872236,N03AX12,Gabapentin
otrivine-antistin eye drops,1140878048,S01GA53,Xylometazoline |Antazoline
mst continus 10mg m/r tablet,1140871776,N02AA01,Morphine
chlortalidone,1140909706,C03BA04,Chlorthalidone
clozapine,1140867420,N05AH02,Clozapine
mtx - methotrexate,1140910036,L01BA01 |L04AX03,Methotrexate
oestradiol 1.25g/dose gel,1140917448,G03CA03,Estradiol
nytol 25mg caplet,1141153080,R06AA02,Diphenhydramine
ispagel 3.5g/sachet s/f powder,1141185480,A06AC01,Plantago Seed
vitamin c+a+d tablet,1140877612,A11B,Multivitamin
canesten hc cream,1140882904,D01AC20,Clotrimazole |Hydrocortisone
locorten-vioform ear drops,1140875974,S02AA30,Flumethasone |Clioquinol
nateglinide,1141173882,A10BX03,Nateglinide
oestradiol 25mg implant 36 week,1140857690,G03CA03,Estradiol
ursodesoxycholic acid,1140910824,A05AA02,Ursodeoxycholic Acid
fusidic acid,1140859220,D06AX01 |D09AA02 |J01XC01 |S01AA13,Fusidic Acid
cyproterone,1140884634,G03HA01,Cyproterone Acetate
detrunorm 15mg tablet,1141168718,G04BD06,Propiverine
simple eye ointment,1140876026,S01AX,No Active Ingredients
ucerax 25mg tablet,1140863292,N05BB01,Hydroxyzine
acamprosate calcium,1140926990,N07BB03,Acamprosate
brevinor tablet,1140869256,G03AA05,Norethisterone |Ethinyl Estradiol
dipyridamole+aspirin,1141167844,B01AC30,Acetylsalicylic Acid |Dipyridamole
migard 2.5mg tablet,1141192670,N02CC07,Frovatriptan
ketoconazole,1140874336,D01AC08 |G01AF11 |J02AB02,Ketoconazole
clindamycin,1140873650,D10AF01 |G01AA10 |J01FF01,Clindamycin
ursofalk 250mg capsule,1140866000,A05AA02,Ursodeoxycholic Acid
felodipine+ramipril,1141165470,C09BB05,Ramipril |Felodipine
paracetamol+dihydrocodeine tartrate,1140882396,N02AJ01,Acetaminophen |Dihydrocodeine
sotalol hydrochloride+hydrochlorothiazide 80mg/12.5mg tablet,1140860332,C07BA07,Sotalol |Hydrochlorothiazide
mobic 15mg tablet,1140926796,M01AC06,Meloxicam
levitra 20mg tablet,1141192260,G04BE09,Vardenafil
ibuprofen+menthol 5%/3% gel,1140911748,M01AE51,Ibuprofen |Menthol
traxam gel,1140875640,M02AA08,Felbinac
solpadeine plus soluble effervescent tablet,1141189064,N02AJ09,Caffeine |Acetaminophen |Codeine
carbamazepine product,1140872064,N03AF01,Carbamazepine
estradiol+norethisterone acetate 1mg/0.5mg tablet,1141181818,G03FA01,Norethisterone |Estradiol
gentisone hc ear drops,1140884074,S03AA,Hydrocortisone |Gentamicin
alphosyl hc cream,1140878418,D07XA01,Hydrocortisone |Coal Tar |Allantoin
propantheline,1140883480,A03AB05,Propantheline
maalox plus suspension,1140865366,A02AF02,Aluminum Hydroxide |Magnesium Hydroxide
cellcept 250mg capsule,1140925986,L04AA06,Mycophenolate Mofetil
solpadeine headache soluble tablet,1141189068,N02BE51,Caffeine |Acetaminophen
viramune 200mg tablet,1141167020,J05AG01,Nevirapine
paracetamol product,1140868240,N02BE01,Acetaminophen
zemtard 120 xl m/r capsule,1141167832,C08DB01,Diltiazem
promazine,1140879746,N05AA03,Promazine
diprosone cream,1140882630,D07AC01,Betamethasone
niaspan 500mg m/r tablet,1141188546,C10AD02,Niacin
sando-k effervescent tablet,1140870554,A12BA51,Potassium Chloride |Potassium Bicarbonate
levitra 10mg tablet,1141192258,G04BE09,Vardenafil
rynacrom 2% nasal drops,1140882160,R01AC01,Cromoglicic Acid
metosyn 0.05% cream,1140888142,D07AC08,Fluocinonide
capecitabine,1141173030,L01BC06,Capecitabine
motens 2mg tablet,1140861282,C08CA09,Lacidipine
acupan 30mg tablet,1140868342,N02BG06,Nefopam Hydrochloride
chloramphenicol 1% eye ointment,1140875566,S01AA01,Chloramphenicol
oxycontin 20mg m/r tablet,1141171050,N02AA05,Oxycodone
zafirlukast,1141168340,R03DC01,Zafirlukast
sudocrem cream,1140878330,D02AB,Benzyl Benzoate |Benzyl Alcohol |Zinc Oxide |Lanolin
exe-cort hydrocortisone 1% cream,1141189464,S02BA01,Hydrocortisone
bricanyl 5mg tablet,1140862162,R03CC03,Terbutaline
cilostazol,1141181150,B01AC23,Cilostazol
kolanticon gel,1140865380,A03A,Aluminum Hydroxide |Simethicone |Dicycloverine Hydrochloride |Light Magnesium Oxide
capsaicin 0.075% cream,1140864558,M02AB01,Capsaicin
methylcellulose,1140865772,A06AC06,Methyl Cellulose
zineryt topical solution,1140880140,D10AF52,Erythromycin |Zinc
morphine sulphate+atropine sulphate,1140882116,A03CB03,Morphine |Atropine
sucralfate,1140865536,A02BX02,Sucralfate
fenactol 25mg e/c tablet,1141182674,M01AB05,Diclofenac
oxcarbazepine,1141175204,N03AF02,Oxcarbazepine
temgesic 200mcg sublingual tablet,1140871734,N02AE01,Buprenorphine
ikorel 10mg tablet,1140910772,C01DX16,Nicorandil
erythromycin product,1141157356,D10AF02 |J01FA01 |S01AA17,Erythromycin
zomorph 10mg m/r capsule,1141152986,N02AA01,Morphine
tenoret 50 tablet,1140860324,C07CB03,Chlorthalidone |Atenolol
chloroquine,1140874482,P01BA01,Chloroquine
nicotinic acid product,1140861868,C04AC01 |C10AD02,Niacin
flurbiprofen,1140871236,M01AE09 |M02AA19 |R02AX01 |S01BC04,Flurbiprofen
risperdal 0.5mg tablet,1141177762,N05AX08,Risperidone
colifoam 10% foam,1140882730,A07EA02,Hydrocortisone
benadryl plus capsule,1141173212,R01BA52,Pseudoephedrine |Acrivastine
misoprostol,1140865628,A02BB01 |G02AD06,Misoprostol
cocois scalp ointment,1140864346,D05AA,Salicylic Acid |Sulfur |Coal Tar
cromoglycate,1140910730,A07EB01 |D11AH03 |R01AC01 |R03BC01 |S01GX01,Cromoglicic Acid
diphenhydramine product,1140883600,D04AA32 |R06AA02,Diphenhydramine
doxepin,1140867640,N06AA12,Doxepin
clexane 20mg/0.2ml prefilled syringe,1140861594,B01AB05,Enoxaparin
difflam sore throat 0.15% oral rinse,1141169694,M02AA05,Benzydamine
dulco-lax 2.5mg perles,1141173444,A06AB08,Picosulfuric Acid
paramol tablet,1140863552,N02AJ01,Acetaminophen |Dihydrocodeine
sulfadiazine,1141182110,J01EC02,Sulfadiazine
valaciclovir,1140916890,J05AB11,Valaciclovir
maxitrol eye drops,1140882718,S01CA01,Polymyxin B Sulfate |Neomycin |Dexamethasone
rozex 0.75% gel,1140916608,D06BX01,Metronidazole
budesonide+eformoterol,1141174512,R03AK07,Formoterol |Budesonide
moclobemide,1140867920,N06AG02,Moclobemide
acetylcysteine,1140862938,R05CB01 |S01XA08 |V03AB23,Acetylcysteine
cytamen 1mg/1ml injection,1140870520,B03BA01,Cyanocobalamin
carteolol,1140879822,C07AA15 |S01ED05,Carteolol
adcortyl in orabase oral paste,1140876240,A01AC01,Triamcinolone
fucidin h cream,1140882920,D06AX01,Hydrocortisone |Fusidic Acid
balneum plus cream,1141146426,D02A,Urea |Lauromacrogols
alphosyl shampoo,1141145710,D05AA,Coal Tar
betaferon 300micrograms injection (pdr for recon)+diluent,1141181882,L03AB08,Interferon Beta-1B
zamadol 50mg capsule,1140928742,N02AX02,Tramadol
lotriderm cream,1140882778,D01AC,Clotrimazole |Betamethasone
slo-phyllin 60mg m/r capsule,1140862424,R03DA04,Theophylline
disodium pamidronate,1140868784,M05BA03,Pamidronate
anadin paracetamol 500mg tablet,1141188516,N02BE01,Acetaminophen
non-drowsy sinutab tablet,1141188512,N02BE51,Acetaminophen |Pseudoephedrine
duphaston 10mg tablet,1140868496,G03DB01,Dydrogesterone
modecate 12.5mg/0.5ml oily injection,1140867456,N05AB02,Fluphenazine
sustiva 600mg tablet,1141187568,J05AG03,Efavirenz
alphaderm cream,1140882818,D07XA01,Hydrocortisone |Urea
trosyl nail solution,1140878672,D01AC07,Tioconazole
fucithalmic m/r eye drops,1140875736,S01AA13,Fusidic Acid
liquid paraffin,1140865734,A06AA01,Mineral Oil
clotrimazole product,1141157304,A01AB18 |D01AC01 |G01AF02,Clotrimazole
sudafed dual relief capsule,1141171672,N02BE51,Acetaminophen |Phenylephrine
fml eye drops,1140878052,S01BA07,Fluorometholone
stilnoct 5mg tablet,1140864916,N05CF02,Zolpidem
chloramphenicol 0.25% eye drops,1140882538,S01AA01,Chloramphenicol
combivir tablet,1141166772,J05AR01,Zidovudine |Lamivudine
lactugal solution,1140865808,A06AD11,Lactulose
voltarol 100mg suppository,1140871174,M01AB05,Diclofenac
eczederm+hydrocortisone cream,1140888134,D07XA01,Hydrocortisone |Mineral Oil
eccoxolac 300mg capsule,1141193170,M01AB08,Etodolac
opatanol 1mg/ml eye drops,1141192302,S01GX09,Olopatadine
fluanxol 500micrograms tablet,1140867952,N05AF01,Flupentixol
salicylic acid product,1141157414,D01AE12 |S01BC08,Salicylic Acid
ventolin cr 4mg m/r tablet,1140862070,R03CC02,Salbutamol
tioconazole,1140880460,D01AC07 |G01AF08,Tioconazole
miconazole,1140874346,A01AB09 |A07AC01 |D01AC02 |G01AF04 |J02AB01 |S02AA13,Miconazole
oestriol product,1140868400,G03CA04,Estriol
felbinac,1140884498,M02AA08,Felbinac
sodium picosulfate,1140909704,A06AB08,Picosulfuric Acid
dioctyl 100mg tablet,1140851072,A06AA02,Docusate
coal tar product,1140879902,D05AA,Coal Tar
growth hormone product,1140882976,H01AC01,Somatropin Recombinant
betaxolol,1140879758,C07AB05 |S01ED02,Betaxolol
mesren mr 400mg m/r tablet,1141189390,A07EC02,Mesalazine
yentreve 20mg gastro-resistant capsule,1141200570,N06AX21,Duloxetine
nystatin,1140874360,A07AA02 |D01AA01 |G01AA01,Nystatin
phenelzine,1140867850,N06AF03,Phenelzine
lamisil 1% cream,1140882474,D01AE15,Terbinafine
metrosa 0.75% gel,1141192154,D06BX01,Metronidazole
cacit 500mg effervescent tablet,1140852836,A12AA04,Calcium Carbonate
lipostat 10mg tablet,1140861970,C10AA03,Pravastatin
fluvoxamine,1140879544,N06AB08,Fluvoxamine
hydrocortisone+clotrimazole,1140882906,D01A,Clotrimazole |Hydrocortisone
disopyramide,1140866568,C01BA03,Disopyramide
hydrocortisone+lidocaine,1141194840,A07EA02,Lidocaine |Hydrocortisone
lemsip sachet,1140911762,N02BE51,Acetaminophen |Phenylephrine
azelaic acid,1140880208,D10AX03,Azelaic Acid
macrodantin 50mg capsule,1140874190,J01XE01,Nitrofurantoin
suscard 1mg m/r buccal tablet,1140860846,C01DA02,Nitroglycerin
estring 2mg(7.5micrograms/24hours) vaginal ring,1140911708,G03CA03,Estradiol
zovirax 5% cream,1140882478,D06BB03,Aciclovir
durogesic 25micrograms/hour patch,1140911830,N02AB03,Fentanyl
mobic 7.5mg tablet,1140926794,M01AC06,Meloxicam
quinidine,1140851530,C01BA01,Quinidine
chlorpheniramine maleate,1140862624,R06AB04,Chlorphenamine
transvasin cream,1140877890,M02A,Ethyl Nicotinate |Hexyl Nicotinate |Tetrahydrofurfuryl Salicylate
tri-adcortyl cream,1140883044,S02CA04,Gramicidin D |Triamcinolone |Nystatin |Neomycin
avonex 30micrograms/0.5ml prefilled syringe,1141188642,L03AB07,Interferon Beta-1A
cobalin-h 1mg/1ml injection,1140870508,B03BA03,Hydroxocobalamin
nuelin 125mg tablet,1140862414,R03DA04,Theophylline
remedeine forte tablet,1140871686,N02AJ01,Acetaminophen |Dihydrocodeine
aerobec 50mcg autohaler,1140862474,R03BA01,Beclomethasone Dipropionate
oxynorm 5mg capsule,1141171066,N02AA05,Oxycodone
navispare tablet,1140866352,C03EA07,Amiloride |Cyclopenthiazide
bonefos 400mg capsule,1140868804,M05BA02,Clodronic Acid
glytrin 400micrograms spray,1140861000,C01DA02,Nitroglycerin
lamisil 250mg tablet,1140882472,D01BA02,Terbinafine
hytrin 2mg tablet,1140860610,G04CA03,Terazosin
fibrazate xl 400mg m/r tablet,1141201306,C10AB02,Bezafibrate
ferrous gluc+folic acid+ascorbic acid 250mg/5mg/10mg tablet,1140870410,B03AE02,Vitamin C |Folic Acid |Iron
silkis 3micrograms/g ointment,1141180200,D05AX03,Calcitriol
nicotine,2018610518,N07BA01,Nicotine
panadol extra tablet,1141168646,N02BE51,Caffeine |Acetaminophen
feminax tablet,1141188522,N02AA79,Caffeine |Acetaminophen |Codeine |Scopolamine
germoloids cream,1141190642,D02AB,Lidocaine |Zinc Oxide
atenolol+bendrofluazide,1141146126,C07BB03,Atenolol |Bendroflumethiazide
dydrogesterone,1140868494,G03DB01,Dydrogesterone
sevelamer,1141175192,V03AE02,Sevelamer
acetazolamide,1140875868,S01EC01,Acetazolamide
intal 5mg inhaler,1140862532,R03BC01,Cromoglicic Acid
elantan 10 tablet,1140860982,C01DA14,Isosorbide Mononitrate
orphenadrine,1140883560,N04AB02 |M03BC01,Orphenadrine
co-danthramer,1140881622,A06AB53,Danthron |Poloxamer 188
co-magaldrox,1140881318,A02A,Aluminum Hydroxide |Magnesium Hydroxide
imidapril hydrochloride,1141164148,C09AA16,Imidapril
co-triamterzide,1140923272,C03EA01,Triamterene |Hydrochlorothiazide
oxynorm 10mg capsule,1141170964,N02AA05,Oxycodone
kaletra 133.3mg/33.3mg capsule,1141173916,J05AR10,Ritonavir |Lopinavir
hydrocortistab 1% cream,1140888628,D07AA02,Hydrocortisone
pulvinal salbutamol 200mcg breath-act dry powder inhaler,1141179066,R03AC02,Salbutamol
monosorb xl 60 m/r tablet,1141162550,C01DA14,Isosorbide Mononitrate
sulfinpyrazone,1140909890,M04AB02,Sulfinpyrazone
sinthrome 1mg tablet,1140861698,B01AA07,Acenocoumarol
nerisone 0.1% cream,1140884640,D07AC06,Difluocortolone
curatoderm 4micrograms/g ointment,1140923732,D05AX04,Tacalcitol
restandol 40mg capsule,1140868536,G03BA03,Testosterone Undecanoate
eletriptan,1141185436,N02CC06,Eletriptan
oramorph 100mg/5ml concentrated oral solution,1140882274,N02AA01,Morphine
panadol 500mg tablet,1140856240,N02BE01,Acetaminophen
ibuprofen+codeine phosphate,1140878030,N02AJ08,Codeine |Ibuprofen
tenif capsule,1140860358,C07FB03,Atenolol |Nifedipine
nyogel 0.1% liquid eye gel,1141179734,S01ED01,Timolol
femapak 40 patch+tablet,1140926686,G03FA14,Dydrogesterone |Estradiol
robaxin 750mg tablet,1140875454,M03BA03,Methocarbamol
mestinon 60mg tablet,1140888818,N07AA02,Pyridostigmine
innozide tablet,1140860784,C09BA02,Enalapril |Hydrochlorothiazide
otosporin ear drops,1140882832,S02CA03,Hydrocortisone |Polymyxin B Sulfate |Neomycin
amoxicillin product,1141180228,J01CA04,Amoxicillin
rivotril 500mcg tablet,1140872152,N03AE01,Clonazepam
bromocriptine,1140868866,G02CB01 |N04BC01,Bromocriptine
propecia 1mg tablet,1141179886,D11AX10,Finasteride
maxolon 5mg tablet,1141150866,A03FA01,Metoclopramide
vallergan 10mg tablet,1140862742,R06AD01,Alimemazine
camcolit 250 tablet,1140867494,N05AN01,Lithium
cholestyramine,1140865576,C10AC01,Cholestyramine
colestyramine product,1141180734,C10AC01,Cholestyramine
dhc continus 60mg m/r tablet,1140871920,N02AA08,Dihydrocodeine
feso4 - ferrous sulphate,1140910436,B03AA07,Iron
ilube eye drops,1140882072,S01XA08,Acetylcysteine
liquid paraffin+white soft paraffin 50%/50% ointment,1140916270,D02A,Mineral Oil |Petrolatum
eurax cream,1140878266,D04AX,Crotamiton
magnesium trisilicate,1140881324,A02A,Magnesium Trisilicate
balneum plus bath oil,1140878246,D02A,Lauromacrogols |Soya Oil
redoxon 25mg tablet,1140870946,A11GA,Vitamin C
calcitriol product,1140870980,A11CC04 |D05AX03,Calcitriol
zamadol sr 100mg m/r capsule,1141153424,N02AX02,Tramadol
solpadeine plus capsule,1141189008,N02AJ09,Caffeine |Acetaminophen |Codeine
metoprolol tartrate+chlorthalidone 100mg/12.5mg tablet,1140860308,C07CB02,Metoprolol |Chlorthalidone
sevredol 10mg tablet,1140871700,N02AA01,Morphine
triptafen tablet,1140867934,N06CA01,Amitriptyline |Perphenazine
septrin 480mg tablet,1140873930,J01EE01,Trimethoprim |Sulfamethoxazole
univer 120mg m/r capsule,1140881692,C08DA01,Verapamil
pro-banthine 15mg tablet,1140865330,A03AB05,Propantheline
aricept 5mg tablet,1141150840,N06DA02,Donepezil
prednesol 5mg tablet,1140874950,H02AB06,Prednisolone
flupenthixol,1140867150,N05AF01,Flupentixol
hydroxyurea,1140869978,L01XX05,Hydroxyurea
piriton 10mg/1ml injection,1140862632,R06AB04,Chlorphenamine
dalacin t topical solution,1140880200,D10AF01,Clindamycin
beclamide,1140856468,N03AX30,Beclamide
difflam cream,1140875620,M02AA05,Benzydamine
hirudoid cream,1140880726,C05BA,Heparinoid
polytar af liquid,1140883828,D05AA,Tar
sofradex eye/ear drops,1140882724,S03CA01,Gramicidin D |Framycetin |Dexamethasone
vitamins b+c,1140871004,A11EB,Vitamin C |Vitamin B
niquitin cq 2mg mint lozenge,1141188524,N07BA01,Nicotine
tenoretic tablet,1140860328,C07CB03,Chlorthalidone |Atenolol
solpadeine max tablet,1141167748,N02AJ09,Acetaminophen |Codeine
galpharm hayfever and allergy relief 10mg tablet,1141179944,R06AE07,Cetirizine
levonorgestrel,1140869366,G03AC03 |G03AD01,Levonorgestrel
oxactin 20mg capsule,1141174756,N06AB03,Fluoxetine
atropine,1140883494,A03BA01 |S01FA01,Atropine
doxadura 1mg tablet,1141194372,C02CA04,Doxazosin
surmontil 10mg tablet,1140867758,N06AA06,Trimipramine
olopatadine,1141192298,R01AC08,Olopatadine
prograf 0.5mg capsule,1141171242,L04AD02,Tacrolimus
felogen xl 5mg m/r tablet,1141188576,C08CA02,Felodipine
nizoral 2% cream,1140880306,D01AC08,Ketoconazole
augmentin 375mg tablet,1140872798,J01CR02,Amoxicillin |Clavulanate
alimemazine,1140909792,R06AD01,Alimemazine
cilazapril,1140860882,C09AA08,Cilazapril
asilone liquid,1140881422,A02AF,Magnesium Oxide |Aluminum Hydroxide |Dimethicone
ursodeoxycholic acid product,1140865996,A05AA02,Ursodeoxycholic Acid
lodoxamide,1140875696,S01GX05,Lodoxamide
