Gene,p Value,False Discovery Rate,Average Difference log fold change,Fraction of Detection in Cluster,Fraction of Detection in Other Clusters,Cluster
CXCL14,0.00,0.00,1.54,0.56,0.06,In1c
CALB2,0.00,0.00,1.71,0.40,0.02,In1c
RGS12,0.00,0.00,1.58,0.68,0.16,In1c
SCG2,0.00,0.00,1.62,0.59,0.12,In1c
ERBB4,0.00,0.00,1.05,0.91,0.46,In1c
CRH,0.00,0.00,1.60,0.36,0.03,In1c
CNR1,0.00,0.00,1.52,0.46,0.08,In1c
C8orf34,0.00,0.00,1.36,0.56,0.15,In1c
EGFEM1P,0.00,0.00,1.49,0.45,0.10,In1c
DLX1,0.00,0.00,1.20,0.28,0.02,In1c
SLC24A3,0.00,0.00,1.10,0.51,0.13,In1c
ARL4C,0.00,0.00,1.19,0.43,0.11,In1c
CCK,0.00,0.00,1.31,0.47,0.20,In1c
KCNT2,0.00,0.00,1.10,0.47,0.15,In1c
THSD7A,0.00,0.00,1.07,0.56,0.21,In1c
GAD1,0.00,0.00,1.01,0.45,0.12,In1c
SNTG1,0.00,0.00,0.73,0.87,0.59,In1c
CNTNAP2,0.00,0.00,0.66,0.94,0.75,In1c
IGF1,0.00,0.00,1.02,0.26,0.03,In1c
LRP1B,0.00,0.00,0.60,0.92,0.75,In1c
PWRN1,0.00,0.00,0.99,0.27,0.05,In1c
VWC2L,0.00,0.00,0.99,0.31,0.06,In1c
PLD5,0.00,0.00,0.74,0.44,0.14,In1c
MIR325HG,0.00,0.00,0.86,0.34,0.08,In1c
PCP4,0.00,0.00,1.17,0.29,0.08,In1c
GRM7,0.00,0.00,0.75,0.70,0.40,In1c
ROBO1,0.00,0.00,0.82,0.60,0.28,In1c
GNAS,0.00,0.00,0.79,0.63,0.35,In1c
LINC01322,0.00,0.00,0.91,0.43,0.17,In1c
SOBP,0.00,0.00,0.79,0.57,0.30,In1c
SNHG14,0.00,0.00,0.35,0.98,0.87,In1c
DSCAM,0.00,0.00,0.56,0.74,0.47,In1c
GRIA1,0.00,0.00,0.72,0.56,0.31,In1c
GABRG3,0.00,0.00,0.71,0.64,0.36,In1c
PTPRE,0.00,0.00,0.83,0.38,0.15,In1c
MEG3,0.00,0.00,0.30,0.98,0.82,In1c
TCF4,0.00,0.00,0.63,0.70,0.47,In1c
NPAS3,0.00,0.00,0.48,0.71,0.46,In1c
WBSCR17,0.00,0.00,0.76,0.55,0.34,In1c
SDK1,0.00,0.00,0.80,0.43,0.18,In1c
SORCS1,0.00,0.00,0.83,0.45,0.28,In1c
ZNF536,0.00,0.00,0.63,0.41,0.17,In1c
TIMP2,0.00,0.00,0.79,0.30,0.09,In1c
TENM3,0.00,0.00,0.78,0.43,0.19,In1c
CIT,0.00,0.00,0.78,0.39,0.19,In1c
NRXN3,0.00,0.00,0.34,0.94,0.83,In1c
L3MBTL4,0.00,0.00,0.73,0.33,0.11,In1c
NKAIN3,0.00,0.00,0.44,0.31,0.12,In1c
ANO4,0.00,0.00,0.64,0.49,0.24,In1c
CNTN4,0.00,0.00,0.56,0.65,0.41,In1c
TMEM132D,0.00,0.00,0.68,0.55,0.35,In1c
BTBD11,0.00,0.00,0.66,0.28,0.09,In1c
NR3C2,0.00,0.00,0.63,0.43,0.23,In1c
SEMA6D,0.00,0.00,0.77,0.39,0.19,In1c
KIAA1211,0.00,0.00,0.66,0.27,0.09,In1c
CNTNAP4,0.00,0.00,0.45,0.41,0.20,In1c
SLC6A1,0.00,0.00,0.51,0.36,0.15,In1c
RGS6,0.00,0.00,0.66,0.49,0.29,In1c
ZEB2,0.00,0.00,0.44,0.51,0.30,In1c
CHRM3,0.00,0.00,0.51,0.63,0.40,In1c
CACNA1D,0.00,0.00,0.54,0.44,0.26,In1c
MYRIP,0.00,0.00,0.59,0.51,0.31,In1c
CSMD1,0.00,0.00,0.33,0.94,0.79,In1c
PITPNC1,0.00,0.00,0.28,0.41,0.22,In1c
LARGE,0.00,0.00,0.54,0.51,0.32,In1c
TSPAN7,0.00,0.00,0.61,0.45,0.26,In1c
NETO2,0.00,0.00,0.68,0.29,0.13,In1c
HMP19,0.00,0.00,0.66,0.32,0.15,In1c
KCNIP1,0.00,0.00,0.58,0.26,0.10,In1c
SHISA6,0.00,0.00,0.58,0.27,0.11,In1c
ZNF292,0.00,0.00,0.52,0.47,0.27,In1c
RP11-384F7.2,0.00,0.00,0.38,0.53,0.34,In1c
ASIC2,0.00,0.00,0.33,0.71,0.50,In1c
DNER,0.00,0.00,0.48,0.32,0.15,In1c
SOX2-OT,0.00,0.00,0.66,0.42,0.22,In1c
RP11-436D23.1,0.00,0.00,0.61,0.40,0.22,In1c
GNAL,0.00,0.00,0.62,0.28,0.12,In1c
CNTN5,0.00,0.00,0.53,0.60,0.40,In1c
CCNI,0.00,0.00,0.54,0.44,0.26,In1c
CLVS1,0.00,0.00,0.57,0.32,0.16,In1c
NAP1L3,0.00,0.00,0.61,0.29,0.14,In1c
RBFOX2,0.00,0.00,0.43,0.54,0.37,In1c
LRRC7,0.00,0.00,0.35,0.73,0.52,In1c
LRRC4C,0.00,0.00,0.25,0.67,0.50,In1c
RNF180,0.00,0.00,0.56,0.27,0.12,In1c
REV3L,0.00,0.00,0.42,0.44,0.27,In1c
FRAS1,0.00,0.00,0.62,0.29,0.15,In1c
VWC2,0.00,0.00,0.51,0.32,0.16,In1c
RP11-123O10.4,0.00,0.00,0.36,0.37,0.20,In1c
NPTXR,0.00,0.00,0.59,0.28,0.14,In1c
CACNA2D3,0.00,0.00,0.49,0.56,0.38,In1c
DAB1,0.00,0.00,0.37,0.60,0.42,In1c
KAZN,0.00,0.00,0.36,0.57,0.38,In1c
FRMD4A,0.00,0.00,0.32,0.79,0.62,In1c
PLXNA4,0.00,0.00,0.50,0.38,0.22,In1c
PCSK2,0.00,0.00,0.52,0.39,0.23,In1c
HSP90AB1,0.00,0.00,0.39,0.61,0.43,In1c
NELL1,0.00,0.00,0.57,0.39,0.28,In1c
ARNT2,0.00,0.00,0.41,0.44,0.28,In1c
SEZ6L,0.00,0.00,0.50,0.43,0.25,In1c
NCAM1,0.00,0.00,0.29,0.63,0.50,In1c
ZNF804A,0.00,0.00,0.48,0.38,0.22,In1c
TNIK,0.00,0.00,0.25,0.41,0.27,In1c
MAP1B,0.00,0.00,0.30,0.76,0.59,In1c
SERINC1,0.00,0.00,0.48,0.34,0.21,In1c
OLFM3,0.00,0.00,0.47,0.40,0.27,In1c
TTC28,0.00,0.00,0.42,0.37,0.23,In1c
GRIN2B,0.00,0.00,0.40,0.54,0.39,In1c
GABRA1,0.00,0.00,0.42,0.42,0.28,In1c
TMEM132B,0.00,0.00,0.42,0.45,0.31,In1c
SCAMP5,0.00,0.00,0.48,0.35,0.24,In1c
LINC00461,0.00,0.00,0.40,0.38,0.25,In1c
ATP1B1,0.00,0.00,0.40,0.55,0.40,In1c
ZNF804B,0.00,0.00,0.45,0.35,0.22,In1c
MYT1L,0.00,0.00,0.32,0.66,0.52,In1c
DCLK1,0.00,0.00,0.37,0.59,0.43,In1c
PPM1E,0.00,0.00,0.44,0.36,0.23,In1c
SLC25A12,0.00,0.00,0.44,0.40,0.26,In1c
SRRM4,0.00,0.00,0.39,0.42,0.29,In1c
KCNB2,0.00,0.00,0.41,0.32,0.21,In1c
PAK3,0.00,0.00,0.46,0.44,0.31,In1c
CDH10,0.00,0.00,0.39,0.39,0.24,In1c
ANKRD12,0.00,0.00,0.36,0.47,0.34,In1c
SLC22A17,0.00,0.00,0.46,0.26,0.15,In1c
MAN1A2,0.00,0.00,0.37,0.53,0.38,In1c
SNRPN,0.00,0.00,0.44,0.28,0.16,In1c
ALCAM,0.00,0.00,0.39,0.38,0.24,In1c
INPP5F,0.00,0.00,0.46,0.27,0.16,In1c
TSPYL2,0.00,0.00,0.40,0.28,0.17,In1c
KCNH7,0.00,0.00,0.27,0.42,0.28,In1c
OSBPL1A,0.00,0.00,0.35,0.34,0.23,In1c
ANKRD26,0.00,0.00,0.30,0.49,0.37,In1c
SYT14,0.00,0.00,0.35,0.32,0.22,In1c
TMSB4X,0.00,0.00,0.44,0.28,0.17,In1c
NDFIP1,0.00,0.00,0.30,0.39,0.27,In1c
CNTNAP5,0.00,0.00,0.28,0.62,0.48,In1c
KCNQ1OT1,0.00,0.00,0.39,0.37,0.25,In1c
ZBTB16,0.00,0.00,0.41,0.26,0.16,In1c
PNMA2,0.00,0.00,0.46,0.29,0.18,In1c
CACNA1E,0.00,0.00,0.40,0.29,0.18,In1c
CTTNBP2,0.00,0.00,0.33,0.32,0.21,In1c
ATCAY,0.00,0.00,0.39,0.26,0.16,In1c
SLC44A5,0.00,0.00,0.37,0.42,0.29,In1c
HDAC9,0.00,0.00,0.27,0.41,0.31,In1c
KIF1A,0.00,0.00,0.36,0.27,0.19,In1c
CSMD3,0.00,0.00,0.26,0.59,0.45,In1c
NFIB,0.00,0.00,0.27,0.34,0.22,In1c
SORCS3,0.00,0.00,0.46,0.28,0.18,In1c
CACNA1B,0.00,0.00,0.26,0.57,0.43,In1c
IDS,0.00,0.00,0.38,0.34,0.24,In1c
ACTG1,0.00,0.00,0.41,0.29,0.20,In1c
TERF2IP,0.00,0.00,0.29,0.34,0.24,In1c
ADRBK2,0.00,0.00,0.35,0.27,0.18,In1c
USP11,0.00,0.00,0.36,0.29,0.20,In1c
CCDC91,0.00,0.00,0.33,0.28,0.20,In1c
NCALD,0.00,0.00,0.32,0.41,0.30,In1c
ZNF483,0.00,0.00,0.36,0.31,0.21,In1c
SETBP1,0.00,0.00,0.32,0.38,0.29,In1c
SARAF,0.00,0.00,0.35,0.30,0.22,In1c
CHSY3,0.00,0.00,0.34,0.38,0.27,In1c
MIAT,0.00,0.00,0.35,0.28,0.22,In1c
SCN3A,0.00,0.00,0.34,0.36,0.26,In1c
FRRS1L,0.00,0.00,0.32,0.36,0.27,In1c
CPLX2,0.00,0.00,0.32,0.26,0.18,In1c
SHISA9,0.00,0.00,0.32,0.36,0.27,In1c
DKK3,0.00,0.00,0.35,0.27,0.18,In1c
GRIN1,0.00,0.00,0.32,0.31,0.26,In1c
GRIP1,0.00,0.00,0.30,0.28,0.19,In1c
THRB,0.00,0.00,0.27,0.42,0.34,In1c
CLSTN2,0.00,0.00,0.34,0.30,0.21,In1c
TFDP2,0.00,0.00,0.32,0.27,0.19,In1c
ITM2B,0.00,0.00,0.28,0.31,0.22,In1c
SV2A,0.00,0.00,0.32,0.27,0.19,In1c
MARCH6,0.00,0.00,0.27,0.29,0.21,In1c
PARK2,0.00,0.00,0.26,0.40,0.32,In1c
TMEM130,0.00,0.00,0.29,0.25,0.18,In1c
NEDD4L,0.00,0.00,0.28,0.29,0.21,In1c
HSP90B1,0.00,0.00,0.26,0.26,0.19,In1c
LINC00657,0.00,0.00,0.31,0.33,0.24,In1c
RTN3,0.00,0.00,0.27,0.49,0.41,In1c
C16orf45,0.00,0.00,0.27,0.28,0.22,In1c
PCDH11X,0.00,0.00,0.32,0.26,0.19,In1c
ALDOA,0.00,0.00,0.29,0.25,0.19,In1c
TMEM59L,0.00,0.00,0.27,0.30,0.24,In1c
CDH13,0.00,0.00,0.36,0.32,0.26,In1c
MAGI3,0.00,0.00,0.26,0.31,0.23,In1c
TTTY14,0.00,0.00,0.26,0.25,0.18,In1c
GALNTL6,0.00,0.00,1.94,0.90,0.31,In2
ADARB2,0.00,0.00,2.06,0.92,0.22,In2
CXCL14,0.00,0.00,1.64,0.71,0.07,In2
NR2F2-AS1,0.00,0.00,1.52,0.48,0.03,In2
RGS12,0.00,0.00,1.52,0.74,0.17,In2
KCNT2,0.00,0.00,1.50,0.65,0.16,In2
DLX6-AS1,0.00,0.00,1.33,0.61,0.09,In2
NR2F2,0.00,0.00,1.16,0.35,0.02,In2
CNTNAP4,0.00,0.00,1.15,0.74,0.20,In2
CNR1,0.00,0.00,1.29,0.54,0.08,In2
ALCAM,0.00,0.00,1.24,0.78,0.25,In2
ROBO2,0.00,0.00,0.88,0.93,0.53,In2
COL21A1,0.00,0.00,1.24,0.40,0.04,In2
MIR325HG,0.00,0.00,1.04,0.51,0.09,In2
SYNPR,0.00,0.00,1.18,0.69,0.19,In2
CDH9,0.00,0.00,1.29,0.64,0.18,In2
NPAS3,0.00,0.00,0.97,0.85,0.46,In2
ZMAT4,0.00,0.00,1.26,0.67,0.22,In2
KIT,0.00,0.00,1.03,0.38,0.05,In2
ROBO1,0.00,0.00,1.07,0.74,0.29,In2
ADRA1A,0.00,0.00,1.13,0.42,0.06,In2
CALB2,0.00,0.00,0.94,0.29,0.03,In2
LRRC39,0.00,0.00,0.92,0.31,0.03,In2
NRXN3,0.00,0.00,0.55,0.99,0.83,In2
LINC01197,0.00,0.00,1.03,0.37,0.05,In2
RP11-58C22.1,0.00,0.00,1.03,0.34,0.04,In2
IGF1,0.00,0.00,0.93,0.33,0.04,In2
ERBB4,0.00,0.00,0.59,0.88,0.47,In2
ENTPD3,0.00,0.00,1.10,0.38,0.06,In2
PLD5,0.00,0.00,0.85,0.54,0.15,In2
PCDH10,0.00,0.00,1.12,0.49,0.12,In2
CSMD3,0.00,0.00,0.84,0.85,0.45,In2
CHRNA7,0.00,0.00,1.02,0.27,0.02,In2
KCNIP1,0.00,0.00,0.87,0.45,0.10,In2
RP11-69I8.3,0.00,0.00,0.67,0.26,0.03,In2
INPP4B,0.00,0.00,0.66,0.63,0.24,In2
CRH,0.00,0.00,0.84,0.27,0.03,In2
SHISA6,0.00,0.00,0.95,0.45,0.11,In2
NEAT1,0.00,0.00,0.50,0.58,0.22,In2
RP11-436D23.1,0.00,0.00,0.93,0.62,0.23,In2
DPP6,0.00,0.00,0.63,0.83,0.58,In2
LRP1B,0.00,0.00,0.68,0.92,0.75,In2
ARL4C,0.00,0.00,1.03,0.47,0.12,In2
AFAP1,0.00,0.00,0.66,0.31,0.06,In2
CSMD1,0.00,0.00,0.44,1.00,0.79,In2
CNTNAP2,0.00,0.00,0.45,0.98,0.75,In2
GAD1,0.00,0.00,0.49,0.41,0.12,In2
GAD2,0.00,0.00,0.61,0.37,0.09,In2
TTN,0.00,0.00,1.32,0.26,0.03,In2
CADM2,0.00,0.00,0.47,1.00,0.88,In2
OXR1,0.00,0.00,0.68,0.83,0.54,In2
ZEB2,0.00,0.00,0.67,0.69,0.30,In2
DNER,0.00,0.00,0.46,0.44,0.15,In2
NLGN1,0.00,0.00,0.45,0.88,0.67,In2
ZNF385D,0.00,0.00,0.55,0.70,0.36,In2
EGFR,0.00,0.00,0.77,0.30,0.06,In2
C8orf34,0.00,0.00,0.78,0.49,0.16,In2
CACNA1D,0.00,0.00,0.81,0.61,0.26,In2
CNTN5,0.00,0.00,0.76,0.77,0.41,In2
SGOL1-AS1,0.00,0.00,0.77,0.31,0.07,In2
HS6ST3,0.00,0.00,0.75,0.70,0.43,In2
SGK1,0.00,0.00,0.51,0.45,0.17,In2
TNIK,0.00,0.00,0.36,0.59,0.27,In2
NHS,0.00,0.00,0.71,0.35,0.09,In2
VWC2,0.00,0.00,0.62,0.48,0.16,In2
GABRA1,0.00,0.00,0.76,0.64,0.29,In2
OLFM3,0.00,0.00,0.76,0.59,0.27,In2
KCNQ5,0.00,0.00,0.56,0.85,0.51,In2
GRIN3A,0.00,0.00,0.60,0.28,0.06,In2
SPOCK3,0.00,0.00,0.48,0.57,0.27,In2
RAB3C,0.00,0.00,0.67,0.51,0.19,In2
MCC,0.00,0.00,0.60,0.29,0.07,In2
ANO4,0.00,0.00,0.56,0.58,0.25,In2
PALLD,0.00,0.00,0.51,0.28,0.07,In2
HDAC9,0.00,0.00,0.72,0.64,0.31,In2
WWP1,0.00,0.00,0.68,0.36,0.10,In2
SNHG14,0.00,0.00,0.35,0.98,0.87,In2
CCSER1,0.00,0.00,0.41,0.90,0.59,In2
MGAT4C,0.00,0.00,0.56,0.69,0.35,In2
ADAMTS9-AS2,0.00,0.00,0.84,0.35,0.09,In2
DCC,0.00,0.00,0.60,0.58,0.25,In2
BTBD11,0.00,0.00,0.60,0.33,0.09,In2
PRKD1,0.00,0.00,0.30,0.37,0.16,In2
CLSTN2,0.00,0.00,0.81,0.51,0.21,In2
B4GALT6,0.00,0.00,0.76,0.34,0.09,In2
TIMP2,0.00,0.00,0.63,0.33,0.09,In2
SLC44A5,0.00,0.00,0.56,0.61,0.29,In2
VWC2L,0.00,0.00,0.65,0.26,0.07,In2
EDIL3,0.00,0.00,0.35,0.57,0.30,In2
SHISA9,0.00,0.00,0.61,0.57,0.27,In2
KCNJ3,0.00,0.00,0.61,0.56,0.26,In2
ZNF608,0.00,0.00,0.37,0.28,0.09,In2
KCND3,0.00,0.00,0.47,0.50,0.24,In2
FRAS1,0.00,0.00,0.68,0.41,0.15,In2
CAMK2D,0.00,0.00,0.48,0.45,0.20,In2
GABRG3,0.00,0.00,0.59,0.65,0.37,In2
CDH8,0.00,0.00,0.68,0.45,0.18,In2
ATP1B1,0.00,0.00,0.53,0.70,0.40,In2
PLCXD3,0.00,0.00,0.55,0.34,0.12,In2
SEZ6L,0.00,0.00,0.43,0.50,0.26,In2
ALK,0.00,0.00,0.43,0.28,0.09,In2
THSD7A,0.00,0.00,0.76,0.50,0.22,In2
AFF2,0.00,0.00,0.70,0.27,0.07,In2
PARM1,0.00,0.00,0.55,0.31,0.11,In2
SNRPN,0.00,0.00,0.51,0.40,0.16,In2
PLCB4,0.00,0.00,0.35,0.35,0.15,In2
TENM2,0.00,0.00,0.29,0.83,0.55,In2
PARK2,0.00,0.00,0.31,0.56,0.32,In2
PTPRE,0.00,0.00,0.59,0.38,0.15,In2
MPP6,0.00,0.00,0.60,0.34,0.13,In2
KIAA1211,0.00,0.00,0.61,0.30,0.09,In2
PDE7B,0.00,0.00,0.68,0.47,0.20,In2
NFIB,0.00,0.00,0.41,0.47,0.23,In2
DAB1,0.00,0.00,0.37,0.70,0.42,In2
NR3C2,0.00,0.00,0.43,0.48,0.23,In2
BCL2,0.00,0.00,0.30,0.30,0.12,In2
GNAS,0.00,0.00,0.57,0.63,0.35,In2
ARNT2,0.00,0.00,0.45,0.55,0.28,In2
RBFOX2,0.00,0.00,0.42,0.65,0.37,In2
RNF150,0.00,0.00,0.40,0.38,0.19,In2
RNPC3,0.00,0.00,0.39,0.44,0.21,In2
LARP1,0.00,0.00,0.46,0.37,0.15,In2
L3MBTL4,0.00,0.00,0.46,0.31,0.12,In2
PLPPR1,0.00,0.00,0.26,0.28,0.11,In2
CCK,0.00,0.00,0.60,0.44,0.20,In2
MLLT3,0.00,0.00,0.50,0.42,0.18,In2
RP11-123O10.4,0.00,0.00,0.45,0.44,0.20,In2
SDK1,0.00,0.00,0.41,0.41,0.18,In2
CNTN4,0.00,0.00,0.33,0.69,0.41,In2
TTC28,0.00,0.00,0.46,0.48,0.23,In2
CNTNAP5,0.00,0.00,0.49,0.74,0.48,In2
RAB2A,0.00,0.00,0.36,0.44,0.21,In2
GABRB2,0.00,0.00,0.43,0.67,0.42,In2
FRMPD4,0.00,0.00,0.36,0.71,0.44,In2
SLC6A1,0.00,0.00,0.32,0.35,0.16,In2
GRIP1,0.00,0.00,0.39,0.41,0.19,In2
ADAMTS17,0.00,0.00,0.42,0.28,0.10,In2
OIP5-AS1,0.00,0.00,0.52,0.48,0.23,In2
PLXNA4,0.00,0.00,0.53,0.47,0.23,In2
KCNQ1OT1,0.00,0.00,0.45,0.49,0.25,In2
SPOCK1,0.00,0.00,0.27,0.63,0.38,In2
MAN1A2,0.00,0.00,0.45,0.65,0.39,In2
GPHN,0.00,0.00,0.35,0.80,0.59,In2
GRIA1,0.00,0.00,0.29,0.55,0.31,In2
SAMD4A,0.00,0.00,0.27,0.26,0.10,In2
LARGE,0.00,0.00,0.35,0.54,0.32,In2
TRAF3IP2-AS1,0.00,0.00,0.38,0.38,0.18,In2
ADCY8,0.00,0.00,0.36,0.29,0.12,In2
ASIC2,0.00,0.00,0.45,0.76,0.51,In2
UPP1,0.00,0.00,0.42,0.29,0.11,In2
GALNT18,0.00,0.00,0.31,0.45,0.24,In2
PPM1E,0.00,0.00,0.49,0.44,0.23,In2
GRIN2A,0.00,0.00,0.27,0.70,0.46,In2
CIT,0.00,0.00,0.32,0.37,0.19,In2
NALCN,0.00,0.00,0.39,0.56,0.33,In2
MYT1L,0.00,0.00,0.39,0.76,0.53,In2
GPR155,0.00,0.00,0.31,0.30,0.15,In2
ZBTB16,0.00,0.00,0.51,0.36,0.17,In2
KIAA1456,0.00,0.00,0.52,0.33,0.15,In2
GALNT13,0.00,0.00,0.26,0.52,0.30,In2
DOK6,0.00,0.00,0.50,0.48,0.25,In2
RP5-921G16.1,0.00,0.00,0.62,0.41,0.20,In2
REEP1,0.00,0.00,0.40,0.29,0.13,In2
KIF3A,0.00,0.00,0.35,0.50,0.28,In2
OXCT1,0.00,0.00,0.39,0.26,0.10,In2
PDE8B,0.00,0.00,0.51,0.40,0.19,In2
TCF4,0.00,0.00,0.41,0.65,0.47,In2
GRIK2,0.00,0.00,0.48,0.73,0.52,In2
LINC00461,0.00,0.00,0.32,0.44,0.25,In2
PPM1K,0.00,0.00,0.59,0.34,0.15,In2
TENM3,0.00,0.00,0.38,0.40,0.20,In2
MEF2C,0.00,0.00,0.35,0.71,0.48,In2
CNTN3,0.00,0.00,0.48,0.33,0.14,In2
SUSD4,0.00,0.00,0.38,0.34,0.19,In2
SPECC1,0.00,0.00,0.30,0.28,0.12,In2
NCALD,0.00,0.00,0.48,0.52,0.30,In2
ANKRD26,0.00,0.00,0.29,0.57,0.37,In2
CHRM3,0.00,0.00,0.36,0.63,0.40,In2
CANX,0.00,0.00,0.26,0.29,0.14,In2
AKAP6,0.00,0.00,0.32,0.67,0.46,In2
OSBPL3,0.00,0.00,0.26,0.27,0.13,In2
FGF12,0.00,0.00,0.32,0.80,0.59,In2
SPAG16,0.00,0.00,0.44,0.36,0.18,In2
REV3L,0.00,0.00,0.42,0.48,0.27,In2
KLHL5,0.00,0.00,0.39,0.28,0.12,In2
MARK1,0.00,0.00,0.33,0.38,0.21,In2
NEDD4L,0.00,0.00,0.31,0.37,0.21,In2
ABAT,0.00,0.00,0.39,0.31,0.15,In2
TMEM178B,0.00,0.00,0.38,0.64,0.41,In2
DKK3,0.00,0.00,0.40,0.35,0.18,In2
RIMBP2,0.00,0.00,0.47,0.29,0.13,In2
SAMD12,0.00,0.00,0.30,0.62,0.40,In2
SYT14,0.00,0.00,0.45,0.41,0.22,In2
NMNAT2,0.00,0.00,0.52,0.49,0.28,In2
EEA1,0.00,0.00,0.27,0.29,0.15,In2
AC034220.3,0.00,0.00,0.38,0.26,0.12,In2
PKN2,0.00,0.00,0.29,0.31,0.17,In2
SCG2,0.00,0.00,0.41,0.29,0.13,In2
PAM,0.00,0.00,0.44,0.45,0.27,In2
EXT1,0.00,0.00,0.52,0.43,0.24,In2
PRKAR2A,0.00,0.00,0.37,0.26,0.11,In2
RNF24,0.00,0.00,0.45,0.28,0.14,In2
HSP90AB1,0.00,0.00,0.36,0.64,0.43,In2
TNRC6A,0.00,0.00,0.35,0.52,0.33,In2
SSBP2,0.00,0.00,0.30,0.47,0.28,In2
PRKCE,0.00,0.00,0.30,0.52,0.34,In2
VWA8,0.00,0.00,0.37,0.38,0.20,In2
MYCBP2,0.00,0.00,0.26,0.63,0.43,In2
MACROD2,0.00,0.00,0.42,0.67,0.48,In2
SV2A,0.00,0.00,0.42,0.36,0.19,In2
LINC01322,0.00,0.00,0.29,0.33,0.17,In2
DENND5B,0.00,0.00,0.30,0.43,0.25,In2
SLC22A17,0.00,0.00,0.40,0.31,0.16,In2
KCNJ6,0.00,0.00,0.32,0.36,0.19,In2
METTL15,0.00,0.00,0.42,0.26,0.11,In2
AUH,0.00,0.00,0.25,0.28,0.14,In2
ADCY2,0.00,0.00,0.28,0.50,0.32,In2
AHI1,0.00,0.00,0.30,0.72,0.53,In2
RASA1,0.00,0.00,0.32,0.30,0.16,In2
OSBPL8,0.00,0.00,0.31,0.43,0.25,In2
KIF1A,0.00,0.00,0.37,0.36,0.19,In2
RELN,0.00,0.00,0.42,0.27,0.13,In2
MAGI1,0.00,0.00,0.34,0.62,0.42,In2
THY1,0.00,0.00,0.43,0.43,0.25,In2
KCTD16,0.00,0.00,0.36,0.58,0.39,In2
SRRM4,0.00,0.00,0.29,0.47,0.29,In2
CORO6,0.00,0.00,0.43,0.30,0.15,In2
RUNDC3B,0.00,0.00,0.39,0.41,0.23,In2
CDK8,0.00,0.00,0.38,0.29,0.14,In2
AIG1,0.00,0.00,0.32,0.41,0.25,In2
KIDINS220,0.00,0.00,0.34,0.37,0.21,In2
GPR137C,0.00,0.00,0.33,0.34,0.18,In2
CCNI,0.00,0.00,0.32,0.43,0.26,In2
PKNOX2,0.00,0.00,0.32,0.34,0.19,In2
PRR16,0.01,0.01,0.50,0.27,0.13,In2
STXBP5-AS1,0.01,0.01,0.37,0.28,0.14,In2
ELAVL2,0.01,0.01,0.35,0.26,0.12,In2
CYFIP2,0.01,0.01,0.29,0.35,0.20,In2
FAM19A5,0.01,0.01,0.36,0.31,0.18,In2
HOOK3,0.01,0.01,0.37,0.26,0.13,In2
GOT1,0.01,0.01,0.34,0.26,0.13,In2
SLC2A13,0.01,0.01,0.42,0.51,0.34,In2
NAP1L3,0.01,0.01,0.28,0.27,0.14,In2
MPHOSPH8,0.01,0.01,0.28,0.52,0.35,In2
FHOD3,0.01,0.01,0.36,0.30,0.16,In2
THSD7A,0.00,0.00,1.73,0.82,0.21,In3
GALNTL6,0.00,0.00,1.59,0.88,0.30,In3
ADARB2,0.00,0.00,1.58,0.86,0.21,In3
ERBB4,0.00,0.00,1.50,0.96,0.46,In3
CNTNAP2,0.00,0.00,1.18,0.99,0.75,In3
CXCL14,0.00,0.00,1.18,0.53,0.06,In3
DLX6-AS1,0.00,0.00,1.59,0.57,0.08,In3
RGS12,0.00,0.00,1.43,0.67,0.16,In3
SYNPR,0.00,0.00,1.33,0.71,0.19,In3
ROBO2,0.00,0.00,0.95,0.93,0.52,In3
CSMD1,0.00,0.00,0.77,0.99,0.79,In3
SLC24A3,0.00,0.00,1.31,0.62,0.13,In3
ROBO1,0.00,0.00,1.24,0.75,0.28,In3
SHISA8,0.00,0.00,1.23,0.30,0.02,In3
PLD5,0.00,0.00,1.17,0.57,0.14,In3
HTR1E,0.00,0.00,1.33,0.46,0.10,In3
SDK1,0.00,0.00,1.19,0.59,0.18,In3
PLCE1,0.00,0.00,1.16,0.30,0.03,In3
MIR325HG,0.00,0.00,1.15,0.43,0.08,In3
L3MBTL4,0.00,0.00,1.10,0.48,0.11,In3
KCNT2,0.00,0.00,1.16,0.52,0.15,In3
CDH13,0.00,0.00,1.13,0.63,0.26,In3
NR2F2-AS1,0.00,0.00,0.98,0.28,0.03,In3
GRM7,0.00,0.00,0.91,0.73,0.40,In3
SNHG14,0.00,0.00,0.47,0.99,0.87,In3
RERG,0.00,0.00,1.06,0.35,0.06,In3
PROX1,0.00,0.00,0.95,0.25,0.03,In3
MIR4300HG,0.00,0.00,1.12,0.30,0.05,In3
MEG3,0.00,0.00,0.44,0.98,0.82,In3
ZMAT4,0.00,0.00,1.00,0.54,0.21,In3
FRMD4A,0.00,0.00,0.68,0.88,0.61,In3
SEZ6,0.00,0.00,1.02,0.31,0.05,In3
LRRC4C,0.00,0.00,0.66,0.80,0.50,In3
COL21A1,0.00,0.00,0.91,0.25,0.04,In3
ZNF804A,0.00,0.00,0.84,0.55,0.21,In3
EGFR,0.00,0.00,0.89,0.29,0.05,In3
ENTPD3,0.00,0.00,0.95,0.29,0.05,In3
SLC6A1,0.00,0.00,0.71,0.46,0.15,In3
C8orf34,0.00,0.00,0.96,0.46,0.15,In3
